date,open,high,low,close,volume,tradecount
16/03/2021,55605.2,56938.29,53271.34,56900.75,4304259208,2241208
15/03/2021,58976.08,60633.43,54600,55605.2,5874241052,2683815
14/03/2021,61188.38,61724.79,58966.78,58968.31,3176397574,1829769
13/03/2021,57221.72,61844,56078.23,61188.39,4933383453,2559002
12/03/2021,57773.15,58081.51,54962.84,57221.72,4162054726,2489931
11/03/2021,55851.59,58150,54272.82,57773.16,4612366201,2509970
10/03/2021,54874.67,57387.69,53005,55851.59,4700197563,2647284
9/03/2021,52375.18,54895,51789.41,54884.5,3861450965,2194398
8/03/2021,50959.11,52402.78,49274.67,52375.17,3400847931,1999401
7/03/2021,48882.2,51450.03,48882.2,50971.75,2778875909,1758101
6/03/2021,48746.81,49200,47070,48882.2,2143910705,1476474
5/03/2021,48374.09,49448.93,46300,48751.71,3727133105,2054216
4/03/2021,50349.37,51773.88,47500,48374.09,4079837241,2291936
3/03/2021,48436.61,52640,48100.71,50349.37,4109521258,2242131
2/03/2021,49595.76,50200,47047.6,48440.65,3120472070,1855583
1/03/2021,45134.11,49790,44950.53,49587.03,4057515795,2147223
28/02/2021,46103.67,46638.46,43000,45135.66,3708359965,1838345
27/02/2021,46276.88,48394,45000,46106.43,3105897439,1757720
26/02/2021,47073.73,48424.11,44106.78,46276.87,5086374533,2371766
25/02/2021,49676.21,52041.73,46674.34,47073.73,4152188728,2305679
24/02/2021,48891,51374.99,46988.69,49676.2,4574033001,2194532
23/02/2021,54087.67,54183.59,44892.56,48891,8215839131,3825196
22/02/2021,57412.35,57508.47,47622,54087.67,7213386720,3313083
21/02/2021,55841.19,58352.8,55477.59,57408.57,3317998263,1950533
20/02/2021,55906,57700.46,53863.93,55841.19,4551890860,2642846
19/02/2021,51552.61,56368,50710.2,55906,4251167828,2339215
18/02/2021,52117.67,52530,50901.9,51552.6,3149973077,1891592
17/02/2021,49133.45,52618.74,48947,52119.71,4365831515,2514374
16/02/2021,47911.1,50689.18,47003.62,49133.45,4349983778,2199849
15/02/2021,48580.47,49010.92,45570.79,47911.1,3782219061,2313155
14/02/2021,47156.78,49707.43,47014.17,48577.79,3584808349,2090070
13/02/2021,47298.15,48150,46202.53,47153.69,3007710147,2058823
12/02/2021,47968.66,48985.8,46125,47287.6,4080571909,2418841
11/02/2021,44807.58,48678.9,43994.02,47969.51,4185630934,2570949
